First iterations of the second try of the algorithm ->{cost: 19, cost_one: 0, cost_two: 3, cost_comp: 22}
]
> [
First iterations of the second try of the algorithm ->{cost: 22, cost_one: 1, cost_two: 3, cost_comp: 24}
]
> [
First iterations of the second try of the algorithm ->{cost: 24, cost_one: 0, cost_two: 3, cost_comp: 27}
]
> [
First iterations of the second try of the algorithm ->{cost: 27, cost_one: 1, cost_two: 3, cost_comp: 29}
]
> [
First iterations of the second try of the algorithm ->{cost: 29, cost_one: 0, cost_two: 3, cost_comp: 32}
]
> [
First iterations of the second try of the algorithm ->{cost: 32, cost_one: 0, cost_two: 3, cost_comp: 35}
]
> [
First iterations of the second try of the algorithm ->{cost: 35, cost_one: 3, cost_two: 1, cost_comp: 33}
]
> [
First iterations of the second try of the algorithm ->{cost: 33, cost_one: 1, cost_two: 3, cost_comp: 35}
]
> [
First iterations of the second try of the algorithm ->{cost: 35, cost_one: 0, cost_two: 2, cost_comp: 37}
]
> [
First iterations of the second try of the algorithm ->{cost: 37, cost_one: 3, cost_two: 2, cost_comp: 36}
]
> [
First iterations of the second try of the algorithm ->{cost: 36, cost_one: 0, cost_two: 5, cost_comp: 41}
]
> [
First iterations of the second try of the algorithm ->{cost: 41, cost_one: 0, cost_two: 3, cost_comp: 44}
]
> [
