> [{cost: 132, cost_one: 3, cost_two: 1}]
> [{cost: -2, cost_one: 2, cost_two: 5}]
> [{cost: -2, cost_one: 2, cost_two: 4}]
> [{cost: -2, cost_one: 1, cost_two: 5}]
> [{cost: -2, cost_one: 2, cost_two: 5}]
> [{cost: -2, cost_one: 3, cost_two: 4}]
> [{cost: -2, cost_one: 3, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 3}]
> [{cost: -2, cost_one: 1, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 3}]
> [{cost: -2, cost_one: 2, cost_two: 4}]
> [{cost: -2, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 3, cost_two: 1}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 3, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 5}]
> [{cost: -4, cost_one: 2, cost_two: 2}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 0, cost_two: 1}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 2}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 3, cost_two: 4}]
> [{cost: -4, cost_one: 0, cost_two: 3}]
> [{cost: -4, cost_one: 1, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 5}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 1, cost_two: 2}]
> [{cost: -4, cost_one: 1, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 1, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 3}]
> [{cost: -4, cost_one: 1, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 2}]
> [{cost: -4, cost_one: 3, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 2}]
> [{cost: -4, cost_one: 2, cost_two: 5}]
> [{cost: -4, cost_one: 1, cost_two: 4}]
> [{cost: -4, cost_one: 2, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 4}]
> [{cost: -4, cost_one: 1, cost_two: 3}]
> [{cost: -4, cost_one: 0, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 2}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 0, cost_two: 3}]
> [{cost: -4, cost_one: 2, cost_two: 5}]
> [{cost: -4, cost_one: 2, cost_two: 3}]
> [{cost: -4, cost_one: 1, cost_two: 5}]
> [{cost: -4, cost_one: 2, cost_two: 5}]
> [{cost: -5, cost_one: 3, cost_two: 2}]
> [{cost: -5, cost_one: 2, cost_two: 5}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 1, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 2}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 1, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 2}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 5}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 2}]
> [{cost: -5, cost_one: 2, cost_two: 5}]
> [{cost: -5, cost_one: 1, cost_two: 2}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 1, cost_two: 4}]
> [{cost: -5, cost_one: 1, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 8}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 5}]
> [{cost: -5, cost_one: 3, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 3}]
> [{cost: -5, cost_one: 3, cost_two: 3}]
> [{cost: -5, cost_one: 2, cost_two: 2}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 2, cost_two: 4}]
> [{cost: -5, cost_one: 3, cost_two: 4}]
> [{cost: -5, cost_one: 3, cost_two: 4}]
> [{cost: -5, cost_one: 1, cost_two: 4}]
> [{cost: -6, cost_one: 2, cost_two: 1}]
> [{cost: -6, cost_one: 2, cost_two: 4}]
> [{cost: -6, cost_one: 3, cost_two: 4}]
> [{cost: -6, cost_one: 2, cost_two: 4}]
> [{cost: -6, cost_one: 2, cost_two: 2}]
> [{cost: -6, cost_one: 2, cost_two: 4}]
> [{cost: -6, cost_one: 3, cost_two: 5}]
> [{cost: -6, cost_one: 3, cost_two: 4}]
> [{cost: -6, cost_one: 2, cost_two: 4}]
> [{cost: -6, cost_one: 2, cost_two: 4}]
> [{cost: -7, cost_one: 2, cost_two: 1}]
> [{cost: -7, cost_one: 2, cost_two: 4}]
> [{cost: -7, cost_one: 1, cost_two: 3}]
> [{cost: -7, cost_one: 2, cost_two: 4}]
> [{cost: -7, cost_one: 1, cost_two: 2}]
> [{cost: -7, cost_one: 2, cost_two: 5}]
> [{cost: -7, cost_one: 2, cost_two: 4}]
> [{cost: -7, cost_one: 2, cost_two: 5}]
> [{cost: -7, cost_one: 2, cost_two: 4}]
> [{cost: -7, cost_one: 3, cost_two: 3}]
> [{cost: -7, cost_one: 1, cost_two: 2}]
> [{cost: -7, cost_one: 1, cost_two: 4}]
> [{cost: -7, cost_one: 2, cost_two: 5}]
> [{cost: -7, cost_one: 2, cost_two: 3}]
> [{cost: -7, cost_one: 3, cost_two: 3}]
> [{cost: -7, cost_one: 1, cost_two: 3}]
> [{cost: -7, cost_one: 2, cost_two: 3}]
> [{cost: -7, cost_one: 2, cost_two: 2}]
> [{cost: -7, cost_one: 1, cost_two: 2}]
> [{cost: -7, cost_one: 3, cost_two: 4}]
> [{cost: -7, cost_one: 2, cost_two: 3}]
> [{cost: -7, cost_one: 2, cost_two: 5}]
> [{cost: -7, cost_one: 1, cost_two: 4}]
> [{cost: -8, cost_one: 3, cost_two: 2}]
> [{cost: -8, cost_one: 3, cost_two: 3}]
> [{cost: -8, cost_one: 2, cost_two: 5}]
> [{cost: -9, cost_one: 3, cost_two: 2}]
> [{cost: -9, cost_one: 1, cost_two: 3}]
> [{cost: -9, cost_one: 1, cost_two: 4}]
> [{cost: -9, cost_one: 2, cost_two: 4}]
> [{cost: -9, cost_one: 2, cost_two: 4}]
> [{cost: -11, cost_one: 3, cost_two: 1}]
> [{cost: -12, cost_one: 2, cost_two: 1}]
> [{cost: -12, cost_one: 1, cost_two: 4}]
> [{cost: -12, cost_one: 2, cost_two: 4}]
> [{cost: -12, cost_one: 3, cost_two: 5}]
> [{cost: -13, cost_one: 3, cost_two: 2}]
> [{cost: -13, cost_one: 1, cost_two: 2}]
> [{cost: -13, cost_one: 3, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 4}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 3, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 3, cost_two: 5}]
> [{cost: -13, cost_one: 3, cost_two: 4}]
> [{cost: -13, cost_one: 1, cost_two: 2}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 1, cost_two: 2}]
> [{cost: -13, cost_one: 1, cost_two: 4}]
> [{cost: -13, cost_one: 3, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 1, cost_two: 2}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 3, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 2}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 3, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 2}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 4}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 5}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -13, cost_one: 2, cost_two: 3}]
> [{cost: -13, cost_one: 1, cost_two: 3}]
> [{cost: -15, cost_one: 4, cost_two: 2}]
> [{cost: -15, cost_one: 3, cost_two: 5}]
> [{cost: -15, cost_one: 3, cost_two: 5}]
> [{cost: -15, cost_one: 2, cost_two: 5}]
> [{cost: -15, cost_one: 2, cost_two: 3}]
> [{cost: -15, cost_one: 2, cost_two: 4}]
> [{cost: -15, cost_one: 1, cost_two: 4}]
> [{cost: -16, cost_one: 4, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 2}]
> [{cost: -16, cost_one: 2, cost_two: 2}]
> [{cost: -16, cost_one: 3, cost_two: 5}]
> [{cost: -16, cost_one: 2, cost_two: 5}]
> [{cost: -16, cost_one: 1, cost_two: 4}]
> [{cost: -16, cost_one: 2, cost_two: 2}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 1, cost_two: 2}]
> [{cost: -16, cost_one: 1, cost_two: 2}]
> [{cost: -16, cost_one: 2, cost_two: 4}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 5}]
> [{cost: -16, cost_one: 2, cost_two: 4}]
> [{cost: -16, cost_one: 3, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 4}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 1, cost_two: 2}]
> [{cost: -16, cost_one: 2, cost_two: 6}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 2}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 5}]
> [{cost: -16, cost_one: 2, cost_two: 4}]
> [{cost: -16, cost_one: 2, cost_two: 2}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 3, cost_two: 3}]
> [{cost: -16, cost_one: 1, cost_two: 3}]
> [{cost: -16, cost_one: 1, cost_two: 4}]
> [{cost: -16, cost_one: 2, cost_two: 4}]
> [{cost: -16, cost_one: 2, cost_two: 3}]
> [{cost: -16, cost_one: 1, cost_two: 3}]
> [{cost: -17, cost_one: 3, cost_two: 2}]
> [{cost: -17, cost_one: 1, cost_two: 4}]
> [{cost: -17, cost_one: 2, cost_two: 4}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 2, cost_two: 2}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 1, cost_two: 3}]
> [{cost: -17, cost_one: 1, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 2}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 1, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 2}]
> [{cost: -17, cost_one: 2, cost_two: 4}]
> [{cost: -17, cost_one: 2, cost_two: 2}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 2}]
> [{cost: -17, cost_one: 1, cost_two: 4}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 1, cost_two: 4}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -17, cost_one: 2, cost_two: 4}]
> [{cost: -17, cost_one: 1, cost_two: 2}]
> [{cost: -17, cost_one: 1, cost_two: 4}]
> [{cost: -17, cost_one: 3, cost_two: 5}]
> [{cost: -17, cost_one: 1, cost_two: 4}]
> [{cost: -17, cost_one: 1, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 4}]
> [{cost: -17, cost_one: 1, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 3, cost_two: 3}]
> [{cost: -17, cost_one: 2, cost_two: 4}]
> [{cost: -17, cost_one: 2, cost_two: 3}]
> [{cost: -17, cost_one: 1, cost_two: 2}]
> [{cost: -17, cost_one: 2, cost_two: 5}]
> [{cost: -18, cost_one: 3, cost_two: 2}]
> [{cost: -18, cost_one: 2, cost_two: 4}]
> [{cost: -18, cost_one: 2, cost_two: 4}]
> [{cost: -18, cost_one: 1, cost_two: 2}]
> [{cost: -18, cost_one: 2, cost_two: 3}]
> [{cost: -18, cost_one: 2, cost_two: 5}]
> [{cost: -18, cost_one: 2, cost_two: 2}]
> [{cost: -18, cost_one: 3, cost_two: 3}]
> [{cost: -18, cost_one: 2, cost_two: 3}]
> [{cost: -18, cost_one: 2, cost_two: 3}]
> [{cost: -18, cost_one: 2, cost_two: 5}]
> [{cost: -18, cost_one: 2, cost_two: 6}]
> [{cost: -18, cost_one: 2, cost_two: 3}]
> [{cost: -18, cost_one: 2, cost_two: 4}]
> [{cost: -18, cost_one: 2, cost_two: 3}]
> [{cost: -19, cost_one: 3, cost_two: 2}]
> [{cost: -19, cost_one: 1, cost_two: 3}]
> [{cost: -19, cost_one: 3, cost_two: 4}]
> [{cost: -19, cost_one: 2, cost_two: 3}]
> [{cost: -19, cost_one: 1, cost_two: 2}]
> [{cost: -19, cost_one: 2, cost_two: 4}]
> [{cost: -19, cost_one: 3, cost_two: 3}]
> [{cost: -19, cost_one: 2, cost_two: 3}]
> [{cost: -19, cost_one: 2, cost_two: 4}]
> [{cost: -19, cost_one: 1, cost_two: 2}]
> [{cost: -19, cost_one: 3, cost_two: 3}]
> [{cost: -19, cost_one: 1, cost_two: 3}]
> [{cost: -19, cost_one: 1, cost_two: 3}]
> [{cost: -19, cost_one: 1, cost_two: 2}]
> [{cost: -19, cost_one: 1, cost_two: 4}]
> [{cost: -19, cost_one: 2, cost_two: 4}]
> [{cost: -19, cost_one: 2, cost_two: 2}]
> [{cost: -19, cost_one: 2, cost_two: 5}]
> [{cost: -19, cost_one: 1, cost_two: 2}]
> [{cost: -19, cost_one: 1, cost_two: 4}]
> [{cost: -19, cost_one: 2, cost_two: 5}]
> [{cost: -19, cost_one: 2, cost_two: 4}]
> [{cost: -19, cost_one: 2, cost_two: 5}]
> [{cost: -19, cost_one: 2, cost_two: 5}]
> [{cost: -19, cost_one: 2, cost_two: 4}]
> [{cost: -19, cost_one: 2, cost_two: 3}]
> [{cost: -19, cost_one: 2, cost_two: 2}]
> [{cost: -20, cost_one: 3, cost_two: 2}]
> [{cost: -20, cost_one: 2, cost_two: 3}]
> [{cost: -20, cost_one: 2, cost_two: 5}]
> [{cost: -20, cost_one: 2, cost_two: 3}]
> [{cost: -20, cost_one: 1, cost_two: 4}]
> [{cost: -20, cost_one: 3, cost_two: 4}]
> [{cost: -20, cost_one: 2, cost_two: 3}]
> [{cost: -21, cost_one: 3, cost_two: 2}]
> [{cost: -21, cost_one: 2, cost_two: 5}]
> [{cost: -21, cost_one: 2, cost_two: 4}]
> [{cost: -21, cost_one: 2, cost_two: 4}]
> [{cost: -21, cost_one: 1, cost_two: 4}]
> [{cost: -21, cost_one: 1, cost_two: 2}]
> [{cost: -21, cost_one: 1, cost_two: 3}]
> [{cost: -21, cost_one: 2, cost_two: 3}]
> [{cost: -21, cost_one: 1, cost_two: 4}]
> [{cost: -21, cost_one: 2, cost_two: 5}]
> [{cost: -21, cost_one: 2, cost_two: 2}]
> [{cost: -21, cost_one: 2, cost_two: 6}]
> [{cost: -21, cost_one: 2, cost_two: 3}]
> [{cost: -21, cost_one: 1, cost_two: 2}]
> [{cost: -21, cost_one: 1, cost_two: 2}]
> [{cost: -21, cost_one: 1, cost_two: 3}]
> [{cost: -22, cost_one: 3, cost_two: 2}]
> [{cost: -22, cost_one: 2, cost_two: 5}]
> [{cost: -22, cost_one: 2, cost_two: 4}]
> [{cost: -22, cost_one: 2, cost_two: 3}]
> [{cost: -22, cost_one: 1, cost_two: 3}]
> [{cost: -23, cost_one: 3, cost_two: 2}]
> [{cost: -23, cost_one: 1, cost_two: 4}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 3, cost_two: 4}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 5}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 1, cost_two: 3}]
> [{cost: -23, cost_one: 1, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 3, cost_two: 5}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 3, cost_two: 4}]
> [{cost: -23, cost_one: 2, cost_two: 2}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -23, cost_one: 1, cost_two: 2}]
> [{cost: -23, cost_one: 1, cost_two: 2}]
> [{cost: -23, cost_one: 2, cost_two: 3}]
> [{cost: -23, cost_one: 2, cost_two: 4}]
> [{cost: -24, cost_one: 2, cost_two: 1}]
> [{cost: -24, cost_one: 2, cost_two: 4}]
> [{cost: -24, cost_one: 2, cost_two: 3}]
> [{cost: -24, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 1}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 5}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 1}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 2, cost_two: 2}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 6}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 3, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 6}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 2}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 2}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 3, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 1}]
> [{cost: -25, cost_one: 2, cost_two: 2}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 2}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 3, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 2}]
> [{cost: -25, cost_one: 2, cost_two: 5}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 1, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 1, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 3}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 2, cost_two: 4}]
> [{cost: -25, cost_one: 3, cost_two: 5}]
