> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005318}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005290}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005263}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005235}]
> [{cost: 11, cost_one: 0, cost_two: 1, cost_comp: 12, temperature: 0.005208}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005181}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.005154}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.005128}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.005101}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.005076}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005050}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.005025}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004999}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004975}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004950}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004925}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004901}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004877}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004854}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004830}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004807}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004784}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004761}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004739}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004716}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.004694}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.004672}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004651}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004629}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004608}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004587}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004566}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004545}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004524}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004504}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004484}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004464}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004444}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004424}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004405}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004385}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004366}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004347}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004328}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004310}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004291}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004273}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004255}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004237}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004219}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004201}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004184}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004166}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004149}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004132}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004115}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004098}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.004081}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.004065}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004048}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004032}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.004016}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.004000}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003984}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003968}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.003952}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003937}]
> [{cost: 11, cost_one: 1, cost_two: 4, cost_comp: 14, temperature: 0.003921}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003906}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003891}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.003875}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.003861}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003846}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003831}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003816}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003802}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003787}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003773}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003759}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003745}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.003731}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.003717}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003703}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.003690}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003676}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003663}]
> [{cost: 11, cost_one: 1, cost_two: 2, cost_comp: 12, temperature: 0.003649}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.003636}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003623}]
> [{cost: 11, cost_one: 0, cost_two: 4, cost_comp: 15, temperature: 0.003610}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003597}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003584}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003571}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003558}]
> [{cost: 11, cost_one: 1, cost_two: 3, cost_comp: 13, temperature: 0.003546}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003533}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003521}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.003508}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003496}]
> [{cost: 11, cost_one: 0, cost_two: 3, cost_comp: 14, temperature: 0.003484}]
> [{cost: 11, cost_one: 0, cost_two: 2, cost_comp: 13, temperature: 0.003472}]
