> [{cost: 79, cost_one: 1, cost_two: 3}]
> [{cost: 79, cost_one: 4, cost_two: 4}]
> [{cost: 79, cost_one: 1, cost_two: 2}]
> [{cost: 79, cost_one: 1, cost_two: 3}]
> [{cost: 79, cost_one: 2, cost_two: 2}]
> [{cost: 79, cost_one: 1, cost_two: 4}]
> [{cost: 79, cost_one: 3, cost_two: 3}]
> [{cost: 79, cost_one: 1, cost_two: 2}]
> [{cost: 79, cost_one: 2, cost_two: 4}]
> [{cost: 79, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 3, cost_two: 2}]
> [{cost: 78, cost_one: 1, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 5}]
> [{cost: 78, cost_one: 3, cost_two: 5}]
> [{cost: 78, cost_one: 2, cost_two: 4}]
> [{cost: 78, cost_one: 1, cost_two: 2}]
> [{cost: 78, cost_one: 3, cost_two: 3}]
> [{cost: 78, cost_one: 3, cost_two: 5}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 2}]
> [{cost: 78, cost_one: 2, cost_two: 3}]
> [{cost: 78, cost_one: 2, cost_two: 3}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 1, cost_two: 3}]
> [{cost: 78, cost_one: 2, cost_two: 4}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 2}]
> [{cost: 78, cost_one: 1, cost_two: 3}]
> [{cost: 78, cost_one: 1, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 2}]
> [{cost: 78, cost_one: 2, cost_two: 3}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 4}]
> [{cost: 78, cost_one: 3, cost_two: 4}]
> [{cost: 78, cost_one: 2, cost_two: 5}]
> [{cost: 77, cost_one: 2, cost_two: 1}]
> [{cost: 77, cost_one: 2, cost_two: 3}]
> [{cost: 77, cost_one: 3, cost_two: 3}]
> [{cost: 77, cost_one: 4, cost_two: 5}]
> [{cost: 77, cost_one: 1, cost_two: 2}]
> [{cost: 77, cost_one: 2, cost_two: 4}]
> [{cost: 77, cost_one: 1, cost_two: 5}]
> [{cost: 77, cost_one: 2, cost_two: 4}]
> [{cost: 77, cost_one: 2, cost_two: 3}]
> [{cost: 77, cost_one: 2, cost_two: 3}]
> [{cost: 77, cost_one: 2, cost_two: 2}]
> [{cost: 77, cost_one: 3, cost_two: 7}]
> [{cost: 77, cost_one: 2, cost_two: 5}]
> [{cost: 77, cost_one: 2, cost_two: 3}]
> [{cost: 77, cost_one: 2, cost_two: 4}]
> [{cost: 77, cost_one: 4, cost_two: 4}]
> [{cost: 77, cost_one: 1, cost_two: 5}]
> [{cost: 77, cost_one: 3, cost_two: 4}]
> [{cost: 76, cost_one: 4, cost_two: 3}]
> [{cost: 76, cost_one: 1, cost_two: 4}]
> [{cost: 76, cost_one: 2, cost_two: 3}]
> [{cost: 76, cost_one: 2, cost_two: 3}]
> [{cost: 76, cost_one: 2, cost_two: 4}]
> [{cost: 76, cost_one: 2, cost_two: 6}]
